Test,Dims,Shape,Elements,Feats,Etc,Model,Desc,Time Taken,RMSE,R2,Micro Acc,Bal Acc,Macro Acc,Precision,Recall F1,
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(64, 64),Dropout:0)",30.085790157318115,0.7679,-0.1328,0.5321,0.498,0.07,0.5819,0.7066,0.6318
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(128, 128),Dropout:0)",145.250173330307,0.7496,-0.1903,0.5678,0.5039,0.1129,0.5856,0.8731,0.7005
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(256, 256),Dropout:0)",83.40337491035461,0.8954,-1.2821,0.4785,0.4962,0.0471,0.5785,0.4309,0.4732
Test 2,2,"(98221, 92)",98221,92,Full,DummyRegressor,DummyRegressor(),0.002990245819091797,0.7672,-0.0008,0.5833,0.5,0.176,0.5833,1.0,0.7365
Test 2,2,"(98221, 92)",98221,92,Full,LinearRegression,LinearRegression(),0.5817325115203857,0.7664,-0.0237,0.536,0.5123,0.0948,0.5926,0.6461,0.6182
Test 2,2,"(98221, 92)",98221,92,Full,DecisionTreeRegressor,DecisionTreeRegressor(),31.835711240768433,0.2222,-18.9075,0.8282,0.8242,0.2218,0.8482,0.8477,0.8479
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=2, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.5714874267578125,0.6495,-0.1157,0.5864,0.5039,0.1767,0.5852,0.9993,0.7378
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=4, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.4909181594848633,0.5544,-0.5492,0.5883,0.5066,0.1766,0.5865,0.9982,0.7386
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=8, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.6922881603240967,0.4147,-2.0035,0.5912,0.5105,0.1758,0.5885,0.9959,0.7395
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=16, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.997342586517334,0.2657,-4.963,0.5973,0.5193,0.1738,0.5929,0.9902,0.7413
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=32, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",1.6851625442504883,0.1895,-7.942,0.6131,0.5425,0.1697,0.6054,0.9719,0.7454
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=64, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",3.1971936225891113,0.1784,-8.9807,0.644,0.5895,0.1547,0.6344,0.9183,0.7501
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=128, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",6.307989120483398,0.1729,-9.0416,0.683,0.6454,0.1558,0.6761,0.8715,0.7612
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=256, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",13.029361248016357,0.1682,-9.0354,0.7265,0.7014,0.167,0.7234,0.8535,0.7829
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=512, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",26.92155170440674,0.1636,-9.0265,0.7714,0.7548,0.1891,0.7717,0.8558,0.8115
Test 2,2,"(98221, 92)",98221,92,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1024, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",56.975096702575684,0.1599,-9.0181,0.8087,0.7979,0.2134,0.8127,0.8649,0.8379
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2),Dropout:0)",101.7439558506012,0.7664,-0.0043,0.5348,0.5068,0.1345,0.5883,0.6989,0.6345
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(4, 4),Dropout:0)",33.34057283401489,2.1725,-57.3633,0.486,0.4908,0.0526,0.5735,0.4658,0.5118
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(8, 8),Dropout:0)",35.93892002105713,0.7276,-0.0811,0.5166,0.5079,0.0962,0.5905,0.5834,0.5793
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(16, 16),Dropout:0)",25.144599199295044,1.8713,-25.3464,0.5027,0.5012,0.0664,0.5845,0.5125,0.5453
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(32, 32),Dropout:0)",23.752897024154663,5.2206,-158.4813,0.4811,0.4938,0.0763,0.5763,0.4226,0.4867
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(64, 64),Dropout:0)",26.70574712753296,5.8728,-176.954,0.5503,0.5049,0.096,0.5863,0.7505,0.6568
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(128, 128),Dropout:0)",24.082812070846558,1.5275,-14.0682,0.5013,0.4993,0.0639,0.5826,0.5091,0.5425
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(256, 256),Dropout:0)",31.779588222503662,3.5817,-65.6764,0.5309,0.4984,0.0906,0.5822,0.69,0.6313
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(512, 512),Dropout:0)",60.48240947723389,5.1266,-139.9246,0.519,0.5005,0.0627,0.5839,0.5926,0.5851
Test 2,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(1024, 1024),Dropout:0)",175.54637956619263,3.5708,-69.0426,0.5394,0.5053,0.0699,0.5871,0.6926,0.6343
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2),Dropout:0)",229.1495280265808,0.665,-1.465,0.5284,0.5075,0.0673,0.5363,0.5811,0.5564
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2, 2, 2),Dropout:0)",82.52460813522339,1.8277,-5.1572,0.5829,0.5007,0.1658,0.5837,0.9925,0.7348
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(4, 4, 4, 4),Dropout:0)",42.16297936439514,1.4257,-12.1748,0.5777,0.4984,0.1716,0.5825,0.9745,0.7289
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(8, 8, 8, 8),Dropout:0)",49.48378109931946,2.4338,-20.986,0.548,0.503,0.06,0.5854,0.7573,0.658
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(16, 16, 16, 16),Dropout:0)",29.051912784576416,5.8894,-246.3632,0.5164,0.4987,0.0364,0.583,0.5778,0.5746
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(32, 32, 32, 32),Dropout:0)",35.17667293548584,12.5414,-933.8829,0.5723,0.5013,0.1069,0.5835,0.8936,0.7022
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(64, 64, 64, 64),Dropout:0)",33.099087715148926,8.5034,-421.091,0.5332,0.5001,0.0621,0.5835,0.6696,0.6194
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(128, 128, 128, 128),Dropout:0)",46.8381450176239,28.065,-4890.7479,0.5721,0.4997,0.106,0.583,0.8918,0.6981
Test 2 batch,2,"(98221, 92)",98221,92,Full,EasyNeuralNet,"EasyNeuralNet Layers:(256, 256, 256, 256),Dropout:0)",61.452786684036255,17.5076,-914.0526,0.4404,0.5005,0.0587,0.5849,0.1612,0.2379
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 2, Dropout: 0)",65.18157601356506,0.7669,0.0026,0.5812,0.5073,0.1739,0.5871,0.9499,0.7254
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 4, Dropout: 0)",151.9343385696411,0.7665,0.0053,0.5789,0.517,0.1677,0.5927,0.8874,0.7105
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 8, Dropout: 0)",250.35333490371704,0.766,0.0077,0.5851,0.5334,0.1631,0.603,0.8362,0.7007
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 16, Dropout: 0)",126.47043132781982,0.7659,0.0102,0.5829,0.547,0.1613,0.6146,0.7593,0.6792
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 32, Dropout: 0)",800.6071662902832,0.759,0.0285,0.602,0.5727,0.1606,0.6341,0.7441,0.6846
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 64, Dropout: 0)",249.69229865074158,0.7595,0.0265,0.6098,0.5846,0.1553,0.6445,0.7305,0.6848
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 128, Dropout: 0)",1792.9410274028778,0.4827,0.3696,0.6087,0.5874,0.1462,0.6486,0.7154,0.6802
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 1, Neurons per Layer: 256, Dropout: 0)",601.1794919967651,0.7235,0.1008,0.6159,0.5978,0.1335,0.6584,0.7013,0.6792
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 2, Dropout: 0.5)",28.064537048339844,0.7673,-0.0004,0.583,0.4998,0.1733,0.5832,0.9972,0.7358
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 4, Dropout: 0.5)",238.98567485809326,0.7668,0.0041,0.5577,0.5171,0.1362,0.5945,0.7654,0.6677
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 8, Dropout: 0.5)",190.25816869735718,0.7663,0.0064,0.5888,0.5201,0.1756,0.5939,0.9324,0.7254
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 16, Dropout: 0.5)",392.2506375312805,0.766,0.0079,0.5899,0.5269,0.1653,0.598,0.9002,0.7185
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 32, Dropout: 0.5)",401.4652132987976,0.7653,0.0127,0.5954,0.5324,0.1653,0.601,0.9038,0.7219
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 64, Dropout: 0.5)",386.1595115661621,0.6391,0.2429,0.5955,0.528,0.1663,0.5982,0.926,0.7268
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 128, Dropout: 0.5)",619.0256638526917,0.6213,0.2761,0.5967,0.53,0.1677,0.5994,0.9249,0.7273
Test 2 batch,3,"(98221, 1, 92)",98221,"(1, 92)",Full,EasyLSTM,"EasyLSTM(Layers: 2, Neurons per Layer: 256, Dropout: 0.5)",927.2809765338898,0.7183,0.0999,0.6005,0.55,0.1606,0.613,0.8423,0.7095
